Column1,name,artists,popularity,release_date,id,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,mood
197,Bigger Than The Whole Sky,Taylor Swift,74,22-10-2022,0BiqmkasE5FdrChwKfVp8X,218503,FALSE,0.422,0.235,6,-12.379,1,0.0568,0.826,0.00648,0.115,0.068,165.71,Sad
199,Glitch,Taylor Swift,70,22-10-2022,6wAFvJPpTZVirBKGZ4EnMW,148781,FALSE,0.675,0.466,11,-9.738,0,0.201,0.361,0,0.11,0.347,140.864,Sad
201,Something in the Orange,Zach Bryan,90,22-04-2022,3WMj8moIAXJhHsyLaqIIHI,228013,FALSE,0.369,0.192,4,-12.151,0,0.04,0.555,8.35E-06,0.0954,0.148,175.212,Sad
202,Kaise Hua,Vishal Mishra,74,14-06-2019,5w0Xpt2YHT2Y3z3e4UUJP7,234722,FALSE,0.37,0.467,2,-6.973,1,0.0411,0.442,0,0.109,0.162,137.796,Sad
203,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")","Arijit Singh, Mithoon",77,31-05-2019,2Fv2injs4qAm8mJBGaxVKU,284780,FALSE,0.427,0.396,11,-7.556,1,0.0366,0.736,0,0.11,0.306,70.368,Sad
204,Raabta,"Pritam, Arijit Singh",76,24-02-2012,6FjbAnaPRPwiP3sciEYctO,243578,FALSE,0.657,0.581,0,-8.108,1,0.0298,0.699,1.82E-05,0.116,0.323,118.037,Sad
208,Let Me Down Slowly,Alec Benjamin,87,16-11-2018,2qxmye6gAegTMjLKEBoR3d,169354,FALSE,0.652,0.557,1,-5.714,0,0.0318,0.74,0,0.124,0.483,150.073,Sad
211,Sorry,Halsey,73,02-06-2017,44n97yHySt0Z9rqPaXgjCK,220541,FALSE,0.513,0.25,5,-9.376,0,0.0367,0.913,0,0.117,0.351,74.103,Sad
212,Welcome to The Internet,Bo Burnham,71,10-06-2021,3s44Qv8x974tm0ueLexMWN,275999,TRUE,0.665,0.527,2,-8.588,0,0.429,0.663,0,0.306,0.219,94.711,Sad
213,Khamoshiyan,"Jeet Gannguli, Arijit Singh",70,29-12-2014,6zCQF5tu7HVwU9shhKqiuF,335710,FALSE,0.527,0.521,2,-6.837,0,0.0272,0.631,0,0.158,0.266,143.892,Sad
216,Baatein Ye Kabhi Na - Male,"Jeet Gannguli, Arijit Singh",61,29-12-2014,0PxMHdQ6bSz9q0eJj3kJzb,289013,FALSE,0.558,0.506,1,-6.761,0,0.0236,0.704,3.05E-06,0.0896,0.358,90.001,Sad
219,Pointless,Lewis Capaldi,17,02-12-2022,4JBiO7wRnE6ueszEUpo347,235752,FALSE,0.325,0.59,4,-3.943,1,0.0495,0.0686,0,0.104,0.278,180.449,Sad
220,When We Feel Young,When Chai Met Toast,48,02-08-2020,5GJPqaqlCSN19ReZ3Hmue4,266393,FALSE,0.573,0.7,4,-6.661,1,0.0271,0.267,0.0187,0.117,0.317,87.508,Sad
230,Banjaara,Mohammed Irfan,69,28-05-2014,4eFnk661RcdOuH9ajiTO3j,336567,FALSE,0.657,0.489,1,-6.829,0,0.0306,0.713,0,0.124,0.399,116,Sad
240,Humsafar,"Akhil Sachdeva, Mansheel Gujral",69,14-02-2017,6TFESXMfJJWwccviaxGAMa,268463,FALSE,0.319,0.552,7,-6.401,1,0.0307,0.719,0,0.144,0.221,93.991,Sad
243,death bed (coffee for your head),"Powfu, beabadoobee",83,08-02-2020,7eJMfftS33KTjuF7lTsMCx,173333,FALSE,0.726,0.431,8,-8.765,0,0.135,0.731,0,0.696,0.348,144.026,Sad
248,bury a friend,Billie Eilish,76,29-03-2019,4SSnFejRGlZikf02HLewEF,193143,FALSE,0.905,0.389,8,-14.505,1,0.332,0.74,0.162,0.106,0.196,120.046,Sad
252,Tujhko Jo Paaya,"Pritam, Mohit Chauhan",61,03-09-2010,62kyw2ux2p0CZ7pKWtM6QO,184827,FALSE,0.598,0.236,9,-9.733,1,0.0363,0.845,0,0.109,0.413,149.839,Sad
254,Tere Bin Nahi Laage (Male Version),Uzair Jaswal,59,10-03-2015,3u947zydbp5jVgVNlaRgv4,222397,FALSE,0.294,0.577,6,-5.952,1,0.0298,0.623,0,0.16,0.429,83.171,Sad
261,Voh Dekhnay Mein,Ali Zafar,59,30-01-2012,0EMYTe2oQy70PCKPQFlbVy,272453,FALSE,0.815,0.421,0,-8.125,1,0.0352,0.491,4.41E-06,0.117,0.543,140.01,Sad
263,We Don't Talk Anymore (feat. Selena Gomez),"Charlie Puth, Selena Gomez",84,29-01-2016,06KyNuuMOX1ROXRhj787tj,217707,FALSE,0.728,0.563,1,-8.053,0,0.134,0.621,0,0.179,0.352,100.017,Sad
264,"My Heart Will Go On - Love Theme from ""Titanic""","Céline Dion, James Horner",59,1997,7F1yVPuJ4xRdrDvf8OL0HF,310707,FALSE,0.157,0.119,1,-20.156,0,0.036,0.801,0.000998,0.126,0.0391,67.005,Sad
266,See You Again (feat. Charlie Puth),"Wiz Khalifa, Charlie Puth",85,2015,2JzZzZUQj3Qff7wapcbKjc,229526,FALSE,0.689,0.481,10,-7.503,1,0.0815,0.369,1.03E-06,0.0649,0.283,80.025,Sad
274,From God's Perspective,Bo Burnham,52,17-12-2013,496hK2hCnPhgT6JuC3ubNZ,261222,TRUE,0.339,0.478,0,-5.895,1,0.0401,0.775,0,0.738,0.355,86.898,Sad
275,i don't want to watch the world end with someone else,Clinton Kane,69,08-05-2020,58qX77t2VWMWcycsh9zKLc,184505,FALSE,0.535,0.359,2,-9.343,1,0.0607,0.771,0,0.111,0.488,154.163,Sad
276,Favourite Things,Rangga Jones,59,06-11-2020,5qDfGiZz9Soxb9Xn2jQ8hk,173333,FALSE,0.528,0.468,9,-8.286,1,0.133,0.264,0,0.0852,0.241,119.937,Sad
282,Alvida,"Pritam, KK",55,17-03-2007,7EjatvVN2Y2GjpvKSyWJR4,338587,FALSE,0.287,0.654,2,-5.57,1,0.0374,0.593,7.30E-06,0.11,0.241,84.015,Sad
283,I Like Me Better,Lauv,9,31-05-2018,2P91MQbaiQOfbiz9VqhqKQ,197437,FALSE,0.752,0.505,9,-7.621,1,0.253,0.535,2.55E-06,0.104,0.419,91.97,Sad
285,Jeena Jeena,Atif Aslam,75,09-12-2014,2GXXZFUxYg2LvG8SR0byOE,228969,FALSE,0.682,0.344,5,-8.567,1,0.0281,0.789,0,0.121,0.548,104.984,Sad
290,How I'm Feeling Now,Lewis Capaldi,13,17-03-2023,5CcfIvFHULvnM0ST4nzRRN,226440,TRUE,0.684,0.441,0,-3.9,1,0.0273,0.356,0,0.169,0.416,102.885,Sad
292,Heather,Conan Gray,88,20-03-2020,4xqrdfXkTW4T0RauPLv3WA,198040,FALSE,0.357,0.425,5,-7.301,1,0.0333,0.584,0,0.322,0.27,102.078,Sad
299,Hazel Eyes,BoyWithUke,60,04-06-2021,2P375Ek8tXZjgo0bef9Sc1,175468,FALSE,0.894,0.429,7,-12.494,1,0.287,0.912,0,0.0759,0.459,144.97,Sad
300,Wish You The Best,Lewis Capaldi,25,14-04-2023,3W5KHP0Yr56ejVDns9vci3,210880,FALSE,0.678,0.48,3,-3.607,1,0.0298,0.588,0,0.0954,0.49,107.934,Sad
302,Suzume,"RADWIMPS, Toaka",71,30-09-2022,7LHAKF7pBqHch8o6Yo0ad5,236391,FALSE,0.571,0.415,2,-6.572,0,0.0305,0.615,0,0.187,0.342,78.025,Sad
309,Sparkle - Movie Version,RADWIMPS,0,24-08-2016,0b4a1iklB8w8gsE38nzyEx,534120,FALSE,0.374,0.432,11,-8.395,1,0.0334,0.691,0.00649,0.109,0.295,124.012,Sad
310,Nandemonaiya - Movie Version,RADWIMPS,0,24-08-2016,7uyGWnfd6fcrFHtWxcM2ke,344053,FALSE,0.49,0.461,6,-6.164,1,0.032,0.254,0,0.284,0.487,168.125,Sad
311,lovely (with Khalid),"Billie Eilish, Khalid",90,19-04-2018,0u2P5u6lvoDfwTYjAADbn4,200186,FALSE,0.351,0.296,4,-10.109,0,0.0333,0.934,0,0.095,0.12,115.284,Sad
316,"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)","Metro Boomin, Swae Lee, Lil Wayne, Offset",80,02-06-2023,39MK3d3fonIP8Mz9oHCTBB,231747,FALSE,0.611,0.483,11,-6.216,0,0.055,0.214,0,0.124,0.204,145.983,Sad
317,"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)","Metro Boomin, Swae Lee, NAV, A Boogie Wit da Hoodie",81,02-06-2023,5rurggqwwudn9clMdcchxT,219453,FALSE,0.631,0.535,0,-7.836,1,0.0842,0.464,0,0.115,0.22,140.127,Sad
319,Zara Zara,Rahul Jain,55,23-09-2021,4gDR9Rekz28zgCcYCHGEAL,144495,FALSE,0.622,0.294,2,-9.986,0,0.0307,0.911,1.27E-06,0.141,0.366,122.048,Sad
324,drunk text,Henry Moodie,74,26-01-2023,0KpWiHVmIFDTvai20likX4,187263,FALSE,0.382,0.401,0,-8.955,1,0.0851,0.286,0,0.0851,0.145,185.636,Sad
325,Play Pretend,Alex Sampson,56,11-12-2020,0bSc0WywyTL94ME4bk75ho,186645,FALSE,0.586,0.492,7,-6.917,1,0.0263,0.661,0,0.119,0.284,135.951,Sad
330,Come Back...Be Here (Taylor's Version),Taylor Swift,73,12-11-2021,4pNApnaUWAL2J4KO2eqokq,223333,FALSE,0.46,0.632,4,-6.031,1,0.0302,0.0158,0,0.0822,0.399,79.846,Sad
338,Train Wreck,James Arthur,83,28-10-2016,55Am8neGJkdj2ADaM3aw5H,208827,FALSE,0.311,0.485,6,-5.726,0,0.0365,0.701,0,0.0726,0.225,77.355,Sad
